Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),DINING PEOPLE:People Occupant Count [](Hourly),KITCHEN PEOPLE:People Occupant Count [](Hourly),Total People,DINING:Zone Other Equipment Convective Heating Rate [W](Hourly),DINING:Zone Other Equipment Latent Gain Rate [W](Hourly),DINING:Zone Other Equipment Total Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Convective Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Latent Gain Rate [W](Hourly),KITCHEN:Zone Other Equipment Total Heating Rate [W](Hourly),Total Cooling Rate [W],DINING:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly) ,Mean air Temperature [°C]
 06/01  01:00:00,16.6666666666666,0,1,0,0,0,0,0,0,0,0,0,0,24.6565715448962,25.4799855580837,15.9600360197308,24.8811349201403
 06/01  02:00:00,14.7083333333333,0,1,0,0,0,0,0,0,0,0,0,0,24.3948446324636,26.6071394439889,12.9920490563809,24.998186793217
 06/01  03:00:00,14.15,0,1,0,0,0,0,0,0,0,0,0,0,24.0983863942489,26.5582212562677,11.1612124669947,24.769238250437
 06/01  04:00:00,13.4916666666666,0,1,0,0,0,0,0,0,0,0,0,0,24.0647174716323,26.9675419539774,10.2347029887061,24.8563824822546
 06/01  05:00:00,12.675,38.8333333333333,1,0,0,0,0,899.320216700659,899.320216700659,9570.26783722371,8385.51199870367,17955.7798359274,18855.100052628,24.3812662118008,21.1650747464548,9.46255520665538,23.5041390323718
 06/01  06:00:00,13.0583333333333,443,1,14.0070863409947,0.376395,14.3834813409947,1582.68817182341,1311.88807877457,2894.57625059798,8154.96926100847,4268.21342821213,12423.1826892206,15317.7589398186,24.1341796008822,21.0001572120923,10.0723225813986,23.2794617621696
 06/01  07:00:00,14.7666666666666,604.5,1,140.070863409947,3.76395,143.834813409947,11484.9696844871,7960.97518791134,19445.9448723984,8722.02272979062,6143.8932359912,14865.9159657818,34311.8608381803,22.7873173216534,21.0000000037678,14.8095059080078,22.2998760064602
 06/01  08:00:00,16.8833333333333,729.75,1,140.070863409947,3.76395,143.834813409947,9501.68852348308,5371.01221628313,14872.7007397662,9241.69725173325,6675.52012086157,15917.2173725948,30789.918112361,23.6070393597955,21.1647502630242,22.9737378605444,22.9409726253106
 06/01  09:00:00,18.9666666666666,877.333333333333,1,56.0283453639789,1.50558,57.5339253639789,3568.95390576835,3432.80966868122,7001.76357444957,8082.97471666948,6977.80518938049,15060.77990605,22062.5434804995,25.2930050281619,22.4827984365639,32.5700135798991,24.526598983043
 06/01  10:00:00,21.025,964.666666666666,1,56.0283453639789,1.50558,57.5339253639789,4070.12820228405,3704.68584641692,7774.81404870097,8155.59490322533,10381.1213212391,18536.7162244644,26311.5302731654,25.988524046836,24.5941226316152,41.6777842931939,25.6082396659144
