Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),DINING PEOPLE:People Occupant Count [](Hourly),KITCHEN PEOPLE:People Occupant Count [](Hourly),Total People,DINING:Zone Other Equipment Convective Heating Rate [W](Hourly),DINING:Zone Other Equipment Latent Gain Rate [W](Hourly),DINING:Zone Other Equipment Total Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Convective Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Latent Gain Rate [W](Hourly),KITCHEN:Zone Other Equipment Total Heating Rate [W](Hourly),Total Cooling Rate [W],DINING:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly) ,Mean air Temperature [°C]
 06/01  01:00:00,16.6666666666666,0,1,0,0,0,0,0,0,0,0,0,0,24.7399718711588,27.3240497937293,15.8547788391956,25.4447075823473
 06/01  02:00:00,14.7083333333333,0,1,0,0,0,0,0,0,0,0,0,0,24.3662130447561,27.1322509953777,12.7868233254961,25.1205733158916
 06/01  03:00:00,14.15,0,1,0,0,0,0,0,0,0,0,0,0,24.0756464461439,26.8392377474721,11.1305672776006,24.829339461422
 06/01  04:00:00,13.4916666666666,0,1,0,0,0,0,0,0,0,0,0,0,24.0371595282957,27.142623454224,10.227493586162,24.8840888369259
 06/01  05:00:00,12.675,38.8333333333333,1,0,0,0,0,899.320216700659,899.320216700659,13875.2522166474,8385.51199870367,22260.764215351,23160.0844320517,24.3629803874696,18.3142504866202,9.48020682283912,22.7133567707709
 06/01  06:00:00,13.0583333333333,443,1,14.0070863409947,0.376395,14.3834813409947,1939.232764804,1311.88807877457,3251.12084357857,9992.10322567673,4268.21342821213,14260.3166538888,17511.4374974674,23.9606008900732,18.9292575294296,10.0763672136279,22.5884412850837
 06/01  07:00:00,14.7666666666666,604.5,1,140.070863409947,3.76395,143.834813409947,18336.8883669304,7960.97518791134,26297.8635548417,13925.5706827007,6143.8932359912,20069.4639186919,46367.3274735336,20.9300785177705,17.3272168464568,14.8062820614029,19.9474977449271
 06/01  08:00:00,16.8833333333333,729.75,1,140.070863409947,3.76395,143.834813409947,13310.9117656986,5371.01221628313,18681.9239819817,12946.6900939862,6675.52012086157,19622.2102148477,38304.1341968294,22.0687605558925,17.7505044544227,22.9493487936984,20.8910757584712
 06/01  09:00:00,18.9666666666666,877.333333333333,1,56.0283453639789,1.50558,57.5339253639789,2998.08241381273,3432.80966868122,6430.89208249396,6790.06369630393,6977.80518938049,13767.8688856844,20198.7609681784,24.6955139992095,21.7908045178814,31.9731031491327,23.9033349073022
 06/01  10:00:00,21.025,964.666666666666,1,56.0283453639789,1.50558,57.5339253639789,4070.12820228405,3704.68584641692,7774.81404870096,8155.59490322532,10381.1213212391,18536.7162244644,26311.5302731654,25.6920516897786,23.9577843696135,41.5068613722473,25.2190782927335
