Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),DINING PEOPLE:People Occupant Count [](Hourly),KITCHEN PEOPLE:People Occupant Count [](Hourly),Total People,DINING:Zone Other Equipment Convective Heating Rate [W](Hourly),DINING:Zone Other Equipment Latent Gain Rate [W](Hourly),DINING:Zone Other Equipment Total Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Convective Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Latent Gain Rate [W](Hourly),KITCHEN:Zone Other Equipment Total Heating Rate [W](Hourly),Total Cooling Rate [W],DINING:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly) ,Mean air Temperature [°C]
 06/01  01:00:00,16.6666666666666,0,1,0,0,0,0,0,0,0,0,0,0,24.8019689653336,27.4311692226518,15.8526922808145,25.5190105440778
 06/01  02:00:00,14.7083333333333,0,1,0,0,0,0,0,0,0,0,0,0,24.4472843613205,27.2932562453501,12.7881867759274,25.2234443997604
 06/01  03:00:00,14.15,0,1,0,0,0,0,0,0,0,0,0,0,24.156383884929,27.0114638435978,11.1331916516408,24.9350278985626
 06/01  04:00:00,13.4916666666666,0,1,0,0,0,0,0,0,0,0,0,0,24.113331995044,27.3125947752191,10.2305489299154,24.9858423442763
 06/01  05:00:00,12.675,38.8333333333333,1,0,0,0,0,899.320216700659,899.320216700659,7711.86486302528,8385.51199870367,16097.3768617289,16996.6970784296,24.4155276564233,22.4380310232376,9.48879339946599,23.8762201982432
 06/01  06:00:00,13.0583333333333,443,1,14.0070863409947,0.376395,14.3834813409947,1582.68817182341,1311.88807877457,2894.57625059798,8154.96926100847,4268.21342821213,12423.1826892206,15317.7589398186,24.1824321303023,21.3196370271101,10.0685563220532,23.4016840245996
 06/01  07:00:00,14.7666666666666,604.5,1,140.070863409947,3.76395,143.834813409947,11484.9696844871,7960.97518791134,19445.9448723984,8722.02272979062,6143.8932359912,14865.9159657818,34311.8608381803,22.7009883685688,21.2572841025324,15.0940468446566,22.3072580000748
 06/01  08:00:00,16.8833333333333,729.75,1,140.070863409947,3.76395,143.834813409947,9501.68852348308,5371.01221628313,14872.7007397662,9241.69725173324,6675.52012086157,15917.2173725948,30789.918112361,23.6015132717165,21.4297260953488,23.0779783531495,23.0092184469672
 06/01  09:00:00,18.9666666666666,877.333333333333,1,56.0283453639789,1.50558,57.5339253639789,3568.95390576835,3432.80966868122,7001.76357444957,8082.97471666948,6977.80518938049,15060.77990605,22062.5434804995,25.3176791304226,22.7680710584144,32.5902324281988,24.6223441166506
 06/01  10:00:00,21.025,964.666666666666,1,56.0283453639789,1.50558,57.5339253639789,4070.12820228405,3704.68584641692,7774.81404870097,8155.59490322532,10381.1213212391,18536.7162244644,26311.5302731654,25.970740325095,24.9087443056768,41.6853025924963,25.6811103129785
 06/01  11:00:00,23.0666666666666,999.583333333333,1,84.0425180459683,2.25836999999999,86.3008880459683,6520.95793069749,4890.65046319846,11411.608393896,9074.96914593241,11882.8227868818,20957.7919328142,32369.4003267102,25.9408199107277,25.9822164694403,49.5194707994285,25.9521096760209
 06/01  12:00:00,24.8916666666666,1001.16666666666,1,140.070863409947,3.76395,143.834813409947,9086.26347717019,6865.37308317139,15951.6365603416,9239.65295848775,10318.5341906927,19558.1871491804,35509.823709522,25.9980815893943,26.1594814228103,55.3551981979518,26.0420989254795
 06/01  13:00:00,26.5333333333333,998.333333333333,1,140.070863409947,3.76395,143.834813409947,9701.41278709922,6563.43481852633,16264.8476056256,9199.89486846039,7802.4419319854,17002.3368004458,33267.1844060713,26.0099505909354,26.1360238905054,58.4713306610574,26.0443335929565
 06/01  14:00:00,28.1916666666666,983.333333333333,1,84.0425180459683,2.25836999999999,86.3008880459683,7802.17823604639,4116.22864698422,11918.4068830306,8642.99715303231,6509.53914059408,15152.5362936264,27070.943176657,26.0141071280503,26.1291302198393,59.1303150399682,26.0454764918326
 06/01  15:00:00,29.25,961.166666666666,1,56.0283453639789,1.50558,57.5339253639789,6964.83495308448,2983.15152783677,9947.98648092125,8668.36263608427,7010.604209701,15678.9668457853,25626.9533267065,26.0232178072671,26.1036287315524,57.8918844276694,26.0451476606274
 06/01  16:00:00,29.7916666666666,918.166666666666,1,70.0354317049736,1.881975,71.9174067049736,8364.66821487098,3141.82029539816,11506.4885102691,9440.04682387184,8657.67156453091,18097.7183884028,29604.2068986719,26.0095335900495,26.0867575831665,55.0138158423854,26.0305942961663
 06/01  17:00:00,30.3499999999999,846.916666666666,1,98.049604386963,2.634765,100.684369386963,10014.9778879946,3903.00743429008,13917.9853222847,10005.1792910175,9647.07915407737,19652.2584450949,33570.2437673795,26.0122391609575,26.0801779541486,50.6300159823015,26.0307675858624
 06/01  18:00:00,29.6083333333333,599.5,1,154.077949750942,4.140345,158.218294750942,12008.2268567702,6405.24422322489,18413.4710799951,10123.4612102452,11306.2587691117,21429.7199793569,39843.191059352,26.025237926499,26.0793413689738,43.9078008823881,26.0399931425384
 06/01  19:00:00,27.9666666666666,80.7499999999999,1,182.092122432931,4.893135,186.985257432931,11915.6033814917,7328.24325190951,19243.8466334012,9728.67883276399,11976.6843045018,21705.3631372658,40949.209770667,26.0016900180715,26.0816194728757,35.0213703990905,26.0234885639607
 06/01  20:00:00,26.3083333333333,0,1,196.099208773926,5.26953,201.368738773926,11361.5103829366,7442.9545823538,18804.4649652904,8803.40729786314,9473.0493555829,18276.456653446,37080.9216187364,26.0135287221949,26.0796244593557,28.2272758846672,26.031554504594
 06/01  21:00:00,24.375,0,1,98.049604386963,2.634765,100.684369386963,6037.07827735193,3673.36525849609,9710.44353584802,8178.13513785273,6802.67064773963,14980.8057855924,24691.2493214404,26.0177650989819,26.0406166965094,24.6897863046235,26.0239972395434
 06/01  22:00:00,22.3333333333333,0,1,56.0283453639789,1.50558,57.5339253639789,2600.23479230708,2148.96030535284,4749.19509765992,7079.61860096311,5068.42519657551,12148.0437975386,16897.2388951985,25.9779468682935,24.9703107248605,22.0328673774851,25.7031420073568
 06/01  23:00:00,20.275,0,1,56.0283453639789,1.50558,57.5339253639789,2887.15759208493,2637.5515171453,5524.70910923023,7130.88383149554,3863.52279977246,10994.406631268,16519.1157404982,25.2114572308221,22.8103072907133,19.8232742166762,24.5566100623476
 06/01  24:00:00,19.1666666666666,0,1,14.0070863409947,0.376395,14.3834813409947,0,0,0,0,0,0,0,25.3414019888233,27.0801115373846,17.82605115919,25.815586880677
 06/02  01:00:00,18.825,0,2,0,0,0,0,0,0,0,0,0,0,24.9083856727423,27.458615593191,16.5412196158288,25.6038902784601
 06/02  02:00:00,18.4666666666666,0,2,0,0,0,0,0,0,0,0,0,0,24.6022925845458,27.3593004559883,15.5801111852913,25.3541901515899
 06/02  03:00:00,17.425,0,2,0,0,0,0,0,0,0,0,0,0,24.3462543096787,27.1233812362208,14.5314914177076,25.1036387919897
 06/02  04:00:00,15.9833333333333,0,2,0,0,0,0,0,0,0,0,0,0,24.3075954722845,27.4438526826055,13.2306095118218,25.162922796697
 06/02  05:00:00,14.525,31.8333333333333,2,14.0070863409947,0.376395,14.3834813409947,1264.43054400844,1755.41213982562,3019.84268383406,8867.97163246352,9195.18557800448,18063.157210468,21082.9998943021,24.3602262927714,21.8402868338984,11.9873501522007,23.6729825718335
 06/02  06:00:00,15.1833333333333,401.333333333333,2,28.0141726819894,0.75279,28.7669626819894,2537.92421392205,1705.32413726923,4243.24835119128,8346.83203960816,4274.28500969839,12621.1170493066,16864.3654004978,24.1694443392031,21.1455753176745,12.153844046471,23.34476778173
 06/02  07:00:00,17.4416666666666,699.583333333333,2,112.056690727957,3.01116,115.067850727957,7340.56491913544,4791.29140159623,12131.8563207317,9207.61420298861,6550.26103407404,15757.8752370627,27889.7315577943,23.948735064606,21.840543093862,17.054795679022,23.3737840715082
 06/02  08:00:00,19.6833333333333,836.416666666666,2,112.056690727957,3.01116,115.067850727957,6030.94875518686,4482.96535435123,10513.9141095381,8066.13931328721,9162.38204441145,17228.5213576987,27742.4354672367,25.0770052045284,23.4787825437864,25.5366486393607,24.6411342218395
 06/02  09:00:00,22,905.333333333333,2,112.056690727957,3.01116,115.067850727957,5743.15905068696,5281.72989914596,11024.8889498329,6915.99636971583,10537.3674870301,17453.3638567459,28478.2528065789,25.9480052814265,25.3278718307391,35.6772747030928,25.7788810516249
 06/02  10:00:00,24.4,945.833333333333,2,56.0283453639789,1.50558,57.5339253639789,5231.80432846782,3536.67871063893,8768.48303910675,7894.09729397367,12106.7238173797,20000.8211113534,28769.3041504601,26.0514345239566,26.1015771264339,44.4697675810495,26.0651095305456
 06/02  11:00:00,26.8,966.166666666666,2,140.070863409947,3.76395,143.834813409947,10030.9675496123,6927.37668703467,16958.344236647,9730.68314330172,11708.8324986219,21439.5156419236,38397.8598785706,26.0366830598962,26.1742076163184,51.6965395781002,26.0741890751868
 06/02  12:00:00,28.675,976.583333333333,2,224.113381455915,6.02232,230.135701455915,14673.4279920145,9802.38644562392,24475.8144376384,9984.87527616021,9873.76921058334,19858.6444867436,44334.458924382,26.007104625492,26.140549148765,56.6475305397925,26.0434979247
