Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),BACK_SPACE:People Occupant Count [](Hourly),CORE_RETAIL:People Occupant Count [](Hourly),POINT_OF_SALE:People Occupant Count [](Hourly),FRONT_RETAIL:People Occupant Count [](Hourly),FRONT_ENTRY:People Occupant Count [](Hourly),Total People,CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) ,Total Cooling Rate [W],BACK_SPACE:Zone Mean Air Temperature [C](Hourly),CORE_RETAIL:Zone Mean Air Temperature [C](Hourly),POINT_OF_SALE:Zone Mean Air Temperature [C](Hourly),FRONT_RETAIL:Zone Mean Air Temperature [C](Hourly),FRONT_ENTRY:Zone Mean Air Temperature [C](Hourly),Mean air Temperature [°C]
 06/01  01:00:00,16.6666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8397339764801,24.9118073899351,25.2484572712967,24.6241500045977,24.6379952697306,24.9030467877093
 06/01  02:00:00,14.7083333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5637836211734,24.6771927628208,24.8543546797313,24.2397256776418,24.1843819489148,24.6411105298043
 06/01  03:00:00,14.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3152129015445,24.4575753871599,24.5338380053516,23.9228409810601,23.820179376705,24.4035770972475
 06/01  04:00:00,13.4916666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1013277549725,24.2670762240047,24.258218867995,23.645930607886,23.497854164208,24.1978489321483
 06/01  05:00:00,12.675,38.8333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9116019147775,24.0929575230868,24.0066874505663,23.3936981736258,23.2074862860512,24.0108538952432
 06/01  06:00:00,13.0583333333333,443,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8792478897508,23.9762820379259,23.8891032173461,23.2748665440503,23.0987891279941,23.9080131728389
 06/01  07:00:00,14.7666666666666,604.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9723296338266,24.0558074515898,24.0726759845946,23.4362331637466,23.3295357757106,24.0020800340488
 06/01  08:00:00,16.8833333333333,729.75,1,0,0,0,0,0,0,0,5084.49470791767,5084.49470791767,0,3401.49163923543,3401.49163923543,0,1449.55277739382,1449.55277739382,0,1435.64065026396,1435.64065026396,11371.1797748109,24.2274391309249,24.3068388718303,24.5247664487455,23.8699396487142,21.2444527056226,24.2791498881004
 06/01  09:00:00,18.9666666666666,877.333333333333,1,6.13418375585338,25.8434183755853,2.43516873889875,2.43516873889875,0.193767156466978,37.0417067657032,2185.12549478815,0,2185.12549478815,403.237491671716,0,403.237491671716,176.584406721234,0,176.584406721234,160.622546505904,0,160.622546505904,2925.569939687,24.6507550458985,24.7074159178872,25.293589962792,24.4563905758287,21.8812022758305,24.7201320845507
 06/01  10:00:00,21.025,964.666666666666,1,12.2683675117067,51.6868367511706,4.87033747779751,4.87033747779751,0.387534312933957,74.0834135314063,2643.59841303103,0,2643.59841303103,600.708186667749,3.58335819619372,604.291544863942,1196.92213311288,154.644081452934,1351.56621456581,198.569778675077,0,198.569778675077,4798.02595113586,25.3300057222421,25.4934111159148,25.8714755472811,25.4110031937714,23.1459019184946,25.4857472311716
