Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),BACK_SPACE:People Occupant Count [](Hourly),CORE_RETAIL:People Occupant Count [](Hourly),POINT_OF_SALE:People Occupant Count [](Hourly),FRONT_RETAIL:People Occupant Count [](Hourly),FRONT_ENTRY:People Occupant Count [](Hourly),Total People,CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) ,Total Cooling Rate [W],BACK_SPACE:Zone Mean Air Temperature [C](Hourly),CORE_RETAIL:Zone Mean Air Temperature [C](Hourly),POINT_OF_SALE:Zone Mean Air Temperature [C](Hourly),FRONT_RETAIL:Zone Mean Air Temperature [C](Hourly),FRONT_ENTRY:Zone Mean Air Temperature [C](Hourly),Mean air Temperature [°C]
 06/01  01:00:00,16.6666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8455355328605,24.9471043779481,25.2421246470249,24.6786827640785,24.6615837439448,24.9319536359709
 06/01  02:00:00,14.7083333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5697233933507,24.7100892898742,24.8494146150181,24.290191412742,24.2065835443007,24.6681800696898
 06/01  03:00:00,14.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3213048102394,24.4883203010583,24.53026764735,23.9695795992305,23.8411276820651,24.4290071294848
 06/01  04:00:00,13.4916666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1075564806112,24.2958351484922,24.255779458501,23.689445598853,23.5176233734684,24.2217705623787
 06/01  05:00:00,12.675,38.8333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9179449948093,24.1198875338994,24.0052494126204,23.4333144479272,23.2260980464411,24.0333203723323
 06/01  06:00:00,13.0583333333333,443,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8856177411083,24.0015366981167,23.8884800213926,23.3111633921301,23.1164030091421,23.9291435746201
 06/01  07:00:00,14.7666666666666,604.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9785815248637,24.0794358062312,24.0726347182176,23.4697575047738,23.3461970878654,24.0219054159717
 06/01  08:00:00,16.8833333333333,729.75,1,0,0,0,0,0,0,0,5084.49470791767,5084.49470791767,0,3401.49163923543,3401.49163923543,0,1449.55277739382,1449.55277739382,0,1435.64065026396,1435.64065026396,11371.1797748109,24.2335157910995,24.3290366918575,24.5252724970717,23.9019416522293,21.2548798896407,24.297878352236
 06/01  09:00:00,18.9666666666666,877.333333333333,1,6.13418375585338,25.8434183755853,2.43516873889875,2.43516873889875,0.193767156466978,37.0417067657032,1821.16072588887,0,1821.16072588887,423.399366255301,0,423.399366255301,185.413627057295,0,185.413627057295,133.868500498719,0,133.868500498719,2563.84221970018,24.6490404572639,24.7665289763314,25.2880982164392,24.508918612876,21.8900444563753,24.7644142689652
 06/01  10:00:00,21.025,964.666666666666,1,12.2683675117067,51.6868367511706,4.87033747779751,4.87033747779751,0.387534312933957,74.0834135314063,2775.77833368258,0,2775.77833368258,630.743596001136,3.58335819619372,634.32695419733,1256.76823976852,154.644081452934,1411.41232122145,208.49826760883,0,208.49826760883,5030.01587671019,25.3229937247124,25.5253398671994,25.8163150883822,25.4413192209324,23.1546324911759,25.5053313933011
 06/01  11:00:00,23.0666666666666,999.583333333333,1,12.2683675117067,51.6868367511706,4.87033747779751,4.87033747779751,0.387534312933957,74.0834135314063,6323.21685651681,2431.25851935154,8754.47537586836,726.352220251555,196.280274438038,922.632494689593,2320.19634980016,237.292584907331,2557.48893470749,1000.79441653889,189.253116721447,1190.04753326033,13424.6443385258,25.8579695802077,25.9039376846875,25.874682430532,25.8673926990208,24.6955151659785,25.8919367119375
