Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),BACK_SPACE:People Occupant Count [](Hourly),CORE_RETAIL:People Occupant Count [](Hourly),POINT_OF_SALE:People Occupant Count [](Hourly),FRONT_RETAIL:People Occupant Count [](Hourly),FRONT_ENTRY:People Occupant Count [](Hourly),Total People,CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),CORE_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),BACK_SPACE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),POINT_OF_SALE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Sensible Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Latent Cooling Rate [W](Hourly),FRONT_RETAIL IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) ,Total Cooling Rate [W],BACK_SPACE:Zone Mean Air Temperature [C](Hourly),CORE_RETAIL:Zone Mean Air Temperature [C](Hourly),POINT_OF_SALE:Zone Mean Air Temperature [C](Hourly),FRONT_RETAIL:Zone Mean Air Temperature [C](Hourly),FRONT_ENTRY:Zone Mean Air Temperature [C](Hourly),Mean air Temperature [°C]
 06/01  01:00:00,16.6666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8658135410992,24.971473028276,25.2761916711697,24.704260711466,24.6855867065981,24.9563621486171
 06/01  02:00:00,14.7083333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5888983597101,24.7330251456486,24.8810589906318,24.3141679834975,24.22918075199,24.6911341262747
 06/01  03:00:00,14.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3394199647868,24.509962239047,24.5596282967976,23.9920737958247,23.8624548410498,24.450628373707
 06/01  04:00:00,13.4916666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1246815301253,24.316244525569,24.2830797040231,23.7106330244884,23.5377687966681,24.242139994942
 06/01  05:00:00,12.675,38.8333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9341578067767,24.1391335573651,24.0306891054764,23.4528494991352,23.2448687756859,24.0524898627174
 06/01  06:00:00,13.0583333333333,443,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9009521827036,24.0196842511993,23.9122025918364,23.3292719802243,23.1340238717428,23.9471886753125
 06/01  07:00:00,14.7666666666666,604.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9929059918869,24.0964766383824,24.0946123066578,23.4866786897253,23.3627917172801,24.0388123892101
 06/01  08:00:00,16.8833333333333,729.75,1,0,0,0,0,0,0,0,5084.49470791767,5084.49470791767,0,3401.49163923543,3401.49163923543,0,1449.55277739382,1449.55277739382,0,1435.64065026396,1435.64065026396,11371.1797748109,24.2469358480421,24.3451074783845,24.5457235616991,23.918222266964,21.2651002642004,24.3138112046872
 06/01  09:00:00,18.9666666666666,877.333333333333,1,6.13418375585338,25.8434183755853,2.43516873889875,2.43516873889875,0.193767156466978,37.0417067657032,1734.43878656082,0,1734.43878656082,403.237491671716,0,403.237491671716,176.584406721234,0,176.584406721234,127.493809998779,0,127.493809998779,2441.75449495255,24.6692334334647,24.7905877175268,25.3140337419286,24.5294032833659,21.898607473061,24.7877172944904
 06/01  10:00:00,21.025,964.666666666666,1,12.2683675117067,51.6868367511706,4.87033747779751,4.87033747779751,0.387534312933957,74.0834135314063,2643.59841303103,0,2643.59841303103,600.708186667749,3.58335819619372,604.291544863942,1196.92213311288,154.644081452934,1351.56621456581,198.569778675077,0,198.569778675077,4798.02595113586,25.3486756316409,25.5590474225102,25.8915572624613,25.4663930538962,23.1627619473029,25.5398771850533
